timestamp,date,hour,day_of_week,station,city,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_direction,AQI_category
2024-01-01 00:00,2024-01-01,0,Monday,Central,Delhi,196.0,273.6,64.6,7.4,0.68,20.6,12.5,81.0,3.6,SW,Very Poor
2024-01-01 01:00,2024-01-01,1,Monday,Central,Delhi,136.0,193.4,43.0,4.8,1.43,39.8,10.5,78.0,1.8,NW,Very Poor
2024-01-01 02:00,2024-01-01,2,Monday,Central,Delhi,115.0,144.4,34.3,13.4,1.0,20.2,12.2,73.0,0.7,SE,Poor
2024-01-01 03:00,2024-01-01,3,Monday,Central,Delhi,143.9,181.7,49.2,5.1,0.61,26.9,14.0,82.0,5.0,E,Very Poor
2024-01-01 04:00,2024-01-01,4,Monday,Central,Delhi,150.6,198.7,48.0,14.0,0.54,52.0,11.3,73.0,6.9,NW,Very Poor
2024-01-01 05:00,2024-01-01,5,Monday,Central,Delhi,144.6,209.0,45.4,19.0,1.23,37.2,16.8,69.0,2.8,S,Very Poor
2024-01-01 06:00,2024-01-01,6,Monday,Central,Delhi,192.2,264.9,57.0,4.9,1.87,42.9,19.1,69.0,0.7,W,Very Poor
2024-01-01 07:00,2024-01-01,7,Monday,Central,Delhi,292.1,392.1,90.8,11.0,2.32,41.5,17.9,64.0,2.6,E,Severe
2024-01-01 08:00,2024-01-01,8,Monday,Central,Delhi,282.6,413.0,99.2,13.1,1.83,33.3,22.7,58.0,1.4,NW,Severe
2024-01-01 09:00,2024-01-01,9,Monday,Central,Delhi,259.4,370.0,74.6,13.9,1.11,51.0,26.3,58.0,5.8,NE,Severe
2024-01-01 10:00,2024-01-01,10,Monday,Central,Delhi,176.5,262.4,56.5,7.9,1.81,37.2,25.6,49.0,1.1,SW,Very Poor
2024-01-01 11:00,2024-01-01,11,Monday,Central,Delhi,160.0,215.0,48.1,13.8,1.15,59.8,24.6,47.0,1.0,NW,Very Poor
